id,drug_text
328,"It is also indicated in the treatment of histamine-mediated pruritus and pruritus due to allergic conditions such as chronic urticaria. Activity at off-targets also allows for its use as a sedative anxiolytic and an antiemetic in certain disease states. These downstream effects of histamine binding are responsible for a wide variety of allergic symptoms, such as pruritus, rhinorrhea, and watery eyes. Inverse agonism at these receptors is responsible for hydroxyzine's efficacy in the treatment of histaminic edema, flare, and pruritus. Hydroxyzine is not a cortical depressant, so its sedative properties likely occur at the subcortical level of the CNS."
329,"For the prevention and treatment of influenza A and B.A guanido-neuraminic acid that is used to inhibit neuraminidase.Zanamivir, an antiviral agent, is a neuraminidase inhibitor indicated for treatment of uncomplicated acute illness due to influenza A and B virus in adults and pediatric patients 7 years and older who have been symptomatic for no more than 2 days. Zanamivir has also been shown to significantly inhibit the human sialidases NEU3 and NEU2 in the micromolar range (Ki 3.7 +/-0.48 and 12.9+/-0.07 microM, respectively), which could account for some of the rare side effects of zanamivir.The proposed mechanism of action of zanamivir is via inhibition of influenza virus neuraminidase with the possibility of alteration of virus particle aggregation and release. By binding and inhibiting the neuraminidase protein, the drug renders the influenza virus unable to escape its host cell and infect others."
330,"Used in the treatment of pulmonary arterial hypertension (PAH), to improve exercise ability and to decrease the rate of clinical worsening (in patients with WHO Class III or IV symptoms).Bosentan is a dual endothelin receptor antagonist marketed under the trade name Tracleer by Actelion Pharmaceuticals. Patients with PAH have elevated levels of endothelin, a potent blood vessel constrictor, in their plasma and lung tissue. Bosentan blocks the binding of endothelin to its receptors, thereby negating endothelin's deleterious effects.Endothelin-1 (ET-1) is a neurohormone, the effects of which are mediated by binding to ETA and ETB receptors in the endothelium and vascular smooth muscle. ET-1 concentrations are elevated in plasma and lung tissue of patients with pulmonary arterial hypertension, suggesting a pathogenic role for ET-1 in this disease. Bosentan is a specific and competitive antagonist at endothelin receptor types ETA and ETB."
331,"For the treatment of infections caused by susceptible strains of the designated microorganisms in the following conditions: Complicated skin and skin structure infections caused by Escherichia coli, Enterococcus faecalis (vancomycin-susceptible isolates only), Staphylococcus aureus (methicillin-susceptible and -resistant isolates), Streptococcus agalactiae, Streptococcus anginosus grp. Glycylcyclines are a new class of antibiotics derived from tetracycline. However, the glycylcyclines appear to bind more effectively than the tetracyclines.Tigecycline, a glycylcycline, inhibits protein translation in bacteria by binding to the 30S ribosomal subunit and blocking entry of amino-acyl tRNA molecules into the A site of the ribosome. Tigecycline is not affected by the two major tetracycline resistance mechanisms, ribosomal protection and efflux. In vitro studies have not demonstrated antagonism between tigecycline and other commonly used antibacterial drugs."
332,"For use as a temporary measure in hospitalized patients with acute respiratory insufficiency superimposed on chronic obstructive pulmonary disease.A central respiratory stimulant with a brief duration of action. (From Martindale, The Extra Pharmocopoeia, 30th ed, p1225)Doxapram is an analeptic agent (a stimulant of the central nervous system). The respiratory stimulant action is manifested by an increase in tidal volume associated with a slight increase in respiratory rate. A pressor response may result following doxapram administration. The pressor response is due to the improved cardiac output rather than peripheral vasoconstriction."
333,"For the treatment of high blood pressure and management of edema.Benzthiazide is used to treat hypertension and edema. Thiazides also cause loss of potassium and an increase in serum uric acid. Thiazides cause vasodilation by activating calcium-activated potassium channels (large conductance) in vascular smooth muscles and inhibiting various carbonic anhydrases in vascular tissue.Benzthiazide is used to treat hypertension and edema. Thiazides also cause loss of potassium and an increase in serum uric acid. Thiazides cause vasodilation by activating calcium-activated potassium channels (large conductance) in vascular smooth muscles and inhibiting various carbonic anhydrases in vascular tissue.As a diuretic, benzthiazide inhibits active chloride reabsorption at the early distal tubule via the Na-Cl cotransporter, resulting in an increase in the excretion of sodium, chloride, and water."
334,"Methotrexate injections for subcutaneous use are indicated for severe active rheumatoid arthritis, polyarticular juvenile idiopathic arthritis and severe, recalcitrant, disabling psoriasis. This inhibition leads to suppression of inflammation as well as prevention of cell division. Because of these effects, methotrexate is often used to treat inflammation caused by arthritis or to control cell division in neoplastic diseases such as breast cancer and non-Hodgkin's lymphoma. Methotrexate was granted FDA approval on 7 December 1953.Methotrexate inhibits enzymes responsible for nucleotide synthesis which prevents cell division and leads to anti-inflammatory actions. It has a long duration of action and is generally given to patients once weekly."
335,"Carbamazepine is also indicated for the treatment of manic episodes and mixed manic-depressive episodes caused by bipolar I disorder. Some off-label, unapproved uses of carbamazepine include the treatment of alcohol withdrawal syndrome and restless leg syndrome.Carbamazepine, also known as Tegretol, is an anticonvulsant drug and analgesic drug used to control seizures and to treat pain resulting from trigeminal neuralgia. It was initially approved by the FDA in 1965. **General effects**    Carbamazepine treats seizures and the symptoms of trigeminal neuralgia by inhibiting sodium channels. A potential therapeutic target to combat carbamazepine resistance has recently been identified as the EPHX1 gene promoter, potentially conferring resistance to carbamazepine through methylation."
336,"Cephalexin is indicated for the treatment of certain infections caused by susceptible bacteria. These infections include respiratory tract infections, otitis media, skin and skin structure infections, bone infections, and genitourinary tract infections.Cephalexin is the first of the first generation cephalosporins. This antibiotic contains a  beta lactam and a dihydrothiazide. Cephalexin is used to treat a number of susceptible bacterial infections through inhibition of cell wall synthesis. It is effective against most gram-positive bacteria through its inihibition of the cross linking reaction between N-acetyl muramicacid and N-acetylglucosamine in the cell wall, leading to cell lysis.Cephalexin is a first generation cephalosporin antibiotic."
337,"Cinnarizine is a specific calcium channel blocker that primarily works on the central vestibular system to interfere with the signal transmission between vestibular apparatus of the inner ear and the vomiting centre of the hypothalamus. Cinnarizine could be also viewed as a nootropic drug because of its vasorelaxating abilities (due to calcium channel blockage), which happen mostly in brain. Histamines mediate a number of activities such as contraction of smooth muscle of the airways and gastrointestinal tract, vasodilatation, cardiac stimulation, secretion of gastric acid, promotion of interleukin release and chemotaxis of eosinophils and mast cells. Cinnarizine through its calcium channel blocking ability also inhibits stimulation of the vestibular system.Cinnarizine inhibits contractions of vascular smooth muscle cells by blocking L-type and T-type voltage gated calcium channels. Cinnarizine has also been implicated in binding to dopamine D2 receptors, histamine H1 receptors, and muscarinic acetylcholine receptors."
338,"Propranolol is indicated to treat hypertension. Propranolol is used to treat a number of conditions but most commonly is used for hypertension. Propranolol has a long duration of action as it is given once or twice daily depending on the indication. When patients abruptly stop taking propranolol, they may experience exacerbations of angina and myocardial infarctions.Propranolol is a nonselective β-adrenergic receptor antagonist. Blocking of these receptors leads to vasoconstriction, inhibition of angiogenic factors like vascular endothelial growth factor (VEGF) and basic growth factor of fibroblasts (bFGF), induction of apoptosis of endothelial cells, as well as down regulation of the renin-angiotensin-aldosterone system."
339,"The intravenous, intramuscular, subcutaneous, intraosseous and endotracheal use of atropine is indicated for the temporary blockade of severe or life-threatening muscarinic effects. Atropine is a competitive, reversible antagonist of muscarinic receptors that blocks the effects of acetylcholine and other choline esters. Compared to , atropine has a more potent and prolonged effect on the heart, intestine and bronchial muscle, but a weaker effect on the iris, ciliary body and certain secretory glands. Atropine can be used to prevent or abolish bradycardia or asystole induced by the injection of choline esters, anticholinesterase agents or other parasympathomimetic drugs, and cardiac arrest produced by stimulation of the vagus. Also, it acts in less innervated smooth muscle that responds to endogenous acetylcholine."
340,"It is pharmacologically similar to aspirin, but causes less gastrointestinal bleeding.Fenoprofen is a propionic acid derivative with analgesic, antiinflammatory and antipyretic properties. Fenoprofen inhibits prostaglandin synthesis by decreasing the enzyme needed for biosynthesis. In patients with rheumatoid arthritis, the anti-inflammatory action of fenoprofen has been evidenced by relief of pain, increase in grip strength, and reductions in joint swelling, duration of morning stiffness, and disease activity (as assessed by both the investigator and the patient). In patients with rheumatoid arthritis and osteoarthritis, clinical studies have shown fenoprofen to be comparable to aspirin in controlling the aforementioned measures of disease activity, but mild gastrointestinal reactions (nausea, dyspepsia) and tinnitus occurred less frequently in patients treated with fenoprofen than in aspirin-treated patients. In patients with pain, the analgesic action of fenoprofen has produced a reduction in pain intensity, an increase in pain relief, improvement in total analgesia scores, and a sustained analgesic effect.Fenoprofen's exact mode of action is unknown, but it is thought that prostaglandin synthetase inhibition is involved."
341,"Fenfluramine is indicated for the treatment of seizures associated with Dravet syndrome and  Lennox-Gastaut syndrome in patients aged two years and older.Dravet syndrome is a pediatric encephalopathy that typically manifests within the first year of life following exposure to elevated temperatures. It is characterized by recurrent pharmacoresistant seizures, which increase in frequency and severity with disease progression. Through its ability to modulate neurotransmission, fenfluramine has reemerged as an effective therapy against pharmacoresistant seizures, such as those involved in Dravet syndrome. Fenfluramine should be gradually withdrawn following treatment alteration or cessation.Dravet syndrome is a complex pediatric encephalopathy characterized by recurrent pharmacoresistant seizures of variable type, delayed development, and in many cases, impairment in speech, language, gait, and other neurocognitive functions. Various _in vitro_ and _in vivo_ studies have demonstrated that fenfluramine is capable of acting as an agonist of multiple serotonin receptors including 5-HT1A, 5-HT1D, 5-HT2A, 5-HT2B, and 5-HT2C, as well as a σ1 receptor antagonist."
342,"An extended release tablet of clonidine is indicated for the treatment of ADHD either alone or in combination with other medications.Clonidine is an imidazole derivate that acts as an agonist of alpha-2 adrenoceptors. Clonidine was granted FDA approval on 3 September 1974.Clonidine functions through agonism of alpha-2 adrenoceptors which have effects such as lowering blood pressure, sedation, and hyperpolarization of nerves. The alpha-2 adrenoceptor is coupled to the G-proteins Go and Gi. Gu inhibits adenylyl cyclase and activates opening of a potassium channel that causes hyperpolarization. Ciding to the alpha-2 adrenoceptor causes structural changes in the alpha subunit of the G-protein, reducing its affinity for GDP."
343,"The sulfonamides are synthetic bacteriostatic antibiotics with a wide spectrum against most gram-positive and many gram-negative organisms. However, many strains of an individual species may be resistant. Bacterial sensitivity is the same for the various sulfonamides, and resistance to one sulfonamide indicates resistance to all. Their antibacterial action is inhibited by pus.Sulfamethizole is a competitive inhibitor of bacterial enzyme dihydropteroate synthetase. The inhibited reaction is necessary in these organisms for the synthesis of folic acid."
344,"Valacyclovir is a nucleoside analog DNA polymerase inhibitor indicated for :     **Adults**    �?Cold Sores (Herpes Labialis)    �?Genital Herpes    �?Treatment of genital herpes lesions in immunocompetent patients (initial or recurrent episode)    �?Suppression of genital herpes lesions in immunocompetent or HIV-infected patients    �?Reduction of viral transmission    �?Herpes Zoster    **Pediatric Patients**     �?Cold Sores (Herpes Labialis)    �?Chickenpox         **Limitations of use**     The efficacy and safety of valacyclovir have not been established in immunocompromised patients other than for the suppression of genital herpes in HIV-infected patients. It is caused by infection with the herpes simplex virus (HSV). The average duration of cold sore episodes was approximately 1 day shorter in treated subjects when compared to subjects treated with placebo. _Recurrent genital herpes episodes_    The results of 3 separate studies of patients taking  3 to 5-day regimens of valacyclovir showed an average of 4 days to lesion healing, 2-3 days to resolution of pain associated with the lesions, with an average of 2 days until the cessation of viral shedding . The first stage of drug phosphorylation for acyclovir requires activation by a virus-specific enzyme."
345,"For the treatment of acute and chronic infections of the upper and lower urinary tract and in asymptomatic bacteriuria due to susceptible strains of bacteria.Broad-spectrum semisynthetic penicillin derivative used parenterally. It is susceptible to gastric juice and penicillinase and may damage platelet function.Carbenicillin is a semisynthetic penicillin. Because of the high urine levels obtained following administration, carbenicillin has demonstrated clinical efficacy in urinary infections due to susceptible strains of: Escherichia coli, Proteus mirabilis, Proteus vulgaris,Morganella morganii, Pseudomonas species, Providencia rettgeri, Enterobacter species, and Enterococci (S. faecalis).Free carbenicillin is the predominant pharmacologically active fraction of the salt. Carbenicillin exerts its antibacterial activity by interference with final cell wall synthesis of susceptible bacteria. Penicillins acylate the penicillin-sensitive transpeptidase C-terminal domain by opening the lactam ring."
346,"Used in short-term (a few weeks) treatment of exogenous obesity in conjunction with a regimen of weight reduction based on caloric restriction, exercise, and behavior modification in patients with a body mass index of 30 kg of body weight per height in meters squared (kg/m2) or in patients with a body mass index of 27 kg/m2 in the presence of risk factors such as hypertension, diabetes, or hyperlipidemia.Mazindol is a tricyclic anorexigenic agent that is unrelated to and less toxic than , but with some similar side effects. It inhibits uptake of catecholamines and blocks the binding of cocaine to the dopamine uptake transporter. Mazindol is only approved in the United States for the treatment of Duchenne muscular dystrophy, and is not marketed or available in the United States for use in the treatment of obesity.Mazindol is a sympathomimetic amine that stimulates the central nervous system (nerves and brain), leading to increased your heart rate and blood pressure, and decreased appetite. Since the appetite-suppressing effect of the drug tends to decrease after few weeks of treatment, sympathomimetic appetite suppressants are typically used short-term weight-loss program. Unlike other sympathomimetic appetite suppressants such as phentermine, mazindol is thought to inhibit the reuptake of norepinephrine rather than to cause its release."
347,"Lactulose is indicated for use as a laxative in the treatment of chronic constipation in adults and geriatric patients. Moreover, there have also been studies demonstrating the capacity for lactulose to minimize the formation of gallstones and even some investigations regarding the experimental use of the agent in developing novel anticancer agents owing to its ability to bind galactin carbohydrates involved in various tumor progressions .Lactulose is a synthetic disaccharide derivative of lactose that is most commonly used as a laxative agent despite also being formally indicated to serve as an adjunct therapy in treating portal-systemic encephalopathy (PSE). Nevertheless, although lactulose received formal FDA approval in 1977 and has since become a readily available generic and brand-name non-prescription medication listed on the World Health Organization's List of Essential Medicines as one of the most effective and safe medicines employed in a health system, data regarding its optimal place in therapy is often ambiguous. Especially considering the use of lactulose as a laxative is typically only considered after lifestyle and dietary modifications fail and the fact that lactulose therapy cannot be ethically withheld from patients diagnosed with PSE in a placebo study, the substance may just be one of many options available for treating constipation and its efficacy in managing PSE may never be formally confirmed or refuted via clinical investigation.Lactulose formulations are most commonly administered via the oral route or the rectal route. At the same time, the formation of such acids via the metabolism of lactulose by colonic bacteria also acidifies the contents of the colon, thereby contributing to the treatment of portal-systemic encephalopathy (PSE)."
348,"For the treatment of esophageal candidiasis, cadidemia, invasive pulmonary aspergillosis, and serious fungal infections caused by Scedosporium apiospermum and Fusarium spp. The increased affinity of voriconazole for 14-alpha sterol demethylase makes it useful against some -resistant organisms. It is known to cause hepatotoxic and photosensitivity reactions in some patients.Voriconazole is used to treat fungal infections caused by a variety of organisms but including _Aspergillus spp._ and _Candida spp_. The lack of sufficient ergosterol disrupts fungal cell membrane function and limits fungal cell growth. With fungal growth limited, the host's immune system is able to clear the invading organism."
349,"Parenteral levocarnitine is indicated for the prevention and treatment of carnitine deficiency in patients with end-stage renal disease.Constituent of striated muscle and liver. It is used therapeutically to stimulate gastric and pancreatic secretions and in the treatment of hyperlipoproteinemias.Levocarnitine is a carrier molecule in the transport of long chain fatty acids across the inner mitochondrial membrane. It also exports acyl groups from subcellular organelles and from cells to urine before they accumulate to toxic concentrations. Further, this condition may be associated with a plasma concentration ratio of acylcarnitine/levocarnitine greater than 0.4 or abnormally elevated concentrations of acylcarnitine in the urine. Levocarnitine can be used therapeutically to stimulate gastric and pancreatic secretions and in the treatment of hyperlipoproteinemias.Levocarnitine can be synthesised within the body from the amino acids lysine or methionine."
350,"Indicated for the treatment of symptomatic congestive heart failure, usually in combination with diuretics and digitalis. Indicated for the management of asymptomatic left ventricular dysfunction in patients with an ejection fraction of �?to 35 percent to decrease the rate of development of overt heart failure and the incidence of hospitalization for heart failure.Enalapril is a prodrug belonging to the angiotensin-converting enzyme (ACE) inhibitor drug class that works on the renin-angiotensin-aldosterone system, which is responsible for the regulation of blood pressure and fluid and electrolyte homeostasis. The active metabolite of enalapril competitively inhibits the ACE to hinder the production of angiotensin II, a key component of the renin-angiotensin-aldosterone system that promotes vasoconstriction and renal reabsorption of sodium ions in the kidneys. Enalapril is a pharmacologically inactive prodrug that requires hepatic biotransformation to form , its active metabolite that works on the RAAS to inhibit ACE. While inhibition of ACE leading to suppression of RAAS is thought to be the primary mechanism of action of enalapril, the drug was shown to still exert antihypertensive effects on individuals with low-renin hypertension."
351,"For the treatment of acid-reflux disorders (GERD), peptic ulcer disease, active benign gastric ulcer, and active duodenal ulcer.A histamine H2 receptor antagonist with low toxicity that inhibits gastric acid secretion. The drug is used for the treatment of duodenal ulcers.Nizatidine is a competitive, reversible inhibitor of histamine at the histamine H2-receptors, particularly those in the gastric parietal cells. Nizatidine had no demonstrable antiandrogenic action. It has been demonstrated that treatment with a reduced dose of nizatidine is effective as maintenance therapy following healing of active duodenal ulcers.Nizatidine competes with histamine for binding at the H2-receptors on the gastric basolateral membrane of parietal cells. The drug also decreases the gastric acid response to stimuli such as food, caffeine, insulin, betazole, or pentagastrin."
352,"Diclofenac was the product of rational drug design based on the structures of , , and . It also increases the risk of developing a gastrointestinal ulcer by inhibiting the production of protective mucus in the stomach.Diclofenac inhibits cyclooxygenase-1 and -2, the enzymes responsible for production of prostaglandin (PG) G2 which is the precursor to other PGs. The activation and sensitization of depolarizing ion channels and inhibition of inward potassium currents serve to reduce the intensity of stimulus necessary to generate action potentials in nociceptive sensory afferents. PGI2 and PGE2 contribute to acute inflammation via their IP and EP2 receptors. By limiting the production of these PGs at the site of injury, NSAIDs can reduce inflammation."
353,"Fluticasone propionate is indicated as an inhaler for the treatment and management of asthma by prophylaxisas well as inflammatory and pruritic dermatoses. Fluticasone propionate nasal spray is indicated for managing allergic and nonallergic rhinitis.Fluticasone propionate is a synthetic glucocorticoid. These drugs are available as inhalers, nasal, sprays, and topical treatments for various inflammatory indications. Fluticasone propionate was first approved in 1990.Systemically, fluticasone propionate activates glucocorticoid receptors, and inhibits lung eosinophilia in rats. Fluticasone propionate as a topical formulation is also associated with vasoconstriction in the skin.Fluticasone propionate works through an unknown mechanism to  affect the action of various cell types and mediators of inflammation."
354,"For the management of Parkinson's DiseaseAn ergot derivative that acts as an agonist at dopamine D2 receptors (dopamine agonists). It may also act as an antagonist at dopamine D1 receptors, and as an agonist at some serotonin receptors (serotonin agonists).There is evidence that lisuride lowers prolactin levels and, in low doses, prevents migraine attacks. Lisuride is an anti-Parkinson drug chemically related to the dopaminergic ergoline Parkinson's drugs. Lisuride binds to the 5-HT(1A) and 5-HT(2A/2C) receptors. It is also thought to bind to the dopamine receptor and to act as a dopamine agonist."
355,"Doxazosin is indicated to treat the symptoms of benign prostatic hypertrophy, which may include urinary frequency, urgency, and nocturia, among other symptoms. It is marketed by Pfizer and was initially approved by the FDA in 1990.Doxazosin decreases standing and supine blood pressure and relieves the symptoms of benign prostatic hypertrophy through the inhibition of alpha-1 receptors. The first dose of doxazosin may lead to such effects, however, subsequent doses may also cause them. Patients must be advised of the priapism risk associated with doxazosin and to seek medical attention immediately if it is suspected.Doxazosin selectively inhibits the postsynaptic alpha-1 receptors on vascular smooth muscle by nonselectively blocking the alpha-1a, alpha-1b, and alpha-1d subtypes. Norepinephrine-activated alpha-1 receptors located on the prostate gland and bladder neck normally cause contraction of regional muscular tissue, obstructing urinary flow and contributing to the symptoms of benign prostatic hypertrophy."
356,"-It has been used in shampoo products as a low to medium potency corticosteroid for the treatment of seborrheic dermatitis of the scalp. -As an intravitreal implant, it is indicated for the treatment of diabetic macular edema with patients that have been previously treated with a course of corticosteroids and no clinically significant rise in intraocular pressure. -Some reports have indicated the use of fluocinolone acetonide as a vasoprotective agent and for its use in the treatment of first-degree hemorrhoids.Fluocinolone acetonide, with the formula 6-alpha, 9-alpha-difluoro-16-alpha, 17 alpha-acetonide, is a corticosteroid that presents a high lipophilicity. This type of device containing fluocinolone acetonide was developed by Taro Pharmaceuticals and approved by FDA in May 2016.Fluocinolone acetonide is a synthetic anti-inflammatory corticosteroid and thus, the effect of its interaction with the body produces vasoconstriction and suppression of membrane permeability, mitotic activity, immune response and release of inflammatory mediators. Hence, the induction of these proteins will prevent the release of arachidonic acid by phospholipase A2."
357,"First used as a solvent for uric acid, the use of piperazine as an anthelmintic agent was first introduced in 1953. Upon entry into the systemic circulation, the drug is partly oxidized and partly eliminated as an unchanged compound. Piperazine compounds mediate their anthelmintic action by generally paralyzing parasites, allowing the host body to easily remove or expel the invading organism.Piperazine is an anthelminthic especially useful in the treatment of partial intestinal obstruction caused by Ascaris worms, which is a condition primarily seen in children. Piperazine hydrate and piperazine citrate are the main anthelminthic piperazines.Piperazine is a GABA receptor agonist. Piperzine binds directly and selectively to muscle membrane GABA receptors, presumably causing hyperpolarization of nerve endings, resulting in flaccid paralysis of the worm."
358,"For the treatment of petit mal epilepsy.An anticonvulsant especially useful in the treatment of absence seizures unaccompanied by other types of seizures.Used in the treatment of epilepsy. Ethosuximide suppresses the paroxysmal three cycle per second spike and wave activity associated with lapses of consciousness which is common in absence (petit mal) seizures. The frequency of epileptiform attacks is reduced, apparently by depression of the motor cortex and elevation of the threshold of the central nervous system to convulsive stimuli.Binds to T-type voltage sensitive calcium channels. Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. The isoform alpha-1G gives rise to T-type calcium currents."
359,"For use as adjunctive treatment with thiazide diuretics or other kaliuretic-diuretic agents in congestive heart failure or hypertension.A pyrazine compound inhibiting sodium reabsorption through sodium channels in renal epithelial cells. This inhibition creates a negative potential in the luminal membranes of principal cells, located in the distal convoluted tubule and collecting duct. Amiloride is used in conjunction with diuretics to spare potassium loss. It is an antihypertensive, potassium-sparing diuretic that was first approved for use in 1967 and helps to treat hypertension and congestive heart failure. Amiloride exerts its potassium sparing effect through the inhibition of sodium reabsorption at the distal convoluted tubule, cortical collecting tubule and collecting duct; this decreases the net negative potential of the tubular lumen and reduces both potassium and hydrogen secretion and their subsequent excretion."
360,Labetalol is formulated as an injection or tablets to treat hypertension. Labetalol was granted FDA approval on 1 August 1984.Labetalol antagonizes various adrenergic receptors to decrease blood pressure. Antagonism of alpha-1-adrenergic receptors leads to vasodilation and decreased vascular resistance. This leads to a decrease in blood pressure that is most pronounced while standing. Antagonism of beta-1-adrenergic receptors leads to a slight decrease in heart rate.
361,"Examples of susceptible bacteria include _Staphylococcus aureus_, _Streptococcus pneumoniae_, _Streptococcus pyogenes_, and _Streptococcus agalactiae_. Linezolid is not indicated for the treatment of Gram-negative infections, nor has it been evaluated for use longer than 28 days.Linezolid is a synthetic antibiotic which is used for the treatment of infections caused by aerobic Gram-positive bacteria. Linezolid has shown some _in vitro_ activity against Gram-negative and anaerobic bacteria but is not considered efficacious against these organisms. Linezolid is a reversible and non-selective inhibitor of monoamine oxidase (MAO) enzymes and can therefore contribute to the development of serotonin syndrome when administered alongside serotonergic agents such as selective serotonin re-uptake inhibitors (SSRIs) or tricyclic antidepressants (TCAs). Point mutations in the bacterial 23S rRNA can lead to linezolid resistance, and the development of linezolid-resistant _Enterococcus faecium_ and _Staphylococcus aureus_ have been documented during its clinical use."
362,"months of age. Ivermectin is mainly used in humans in the treatment of onchocerciasis, but may also be effective against other worm infestations (such as strongyloidiasis, ascariasis, trichuriasis and enterobiasis). Applied topically, it may be used in the treatment of head lice infestation. With the advent of 2020 and the COVID-19 pandemic, ivermectin began garnering notoriety due to its off-label use for the prophylaxis and treatment of COVID-19. It is an avermectin, a group of pentacyclic sixteen-membered lactones (i.e. a macrocyclic lactone disaccharide) derived from the soil bacterium _Streptomyces avermitilis_."
363,"MPA can be use to treat secondary amenorrhea, endometrial hyperplasia, abnormal uterine bleeding, osteoporosis, vasomotor symptoms in menopause, vulvar and vaginal atrophy, prevent pregnancy, manage pain in endometriosis, prevent pregnancy, and is also used in palliative care for endometrial and renal carcinoma. Medroxyprogesterone acetate was granted FDA approval on 18 June 1959.Medroxyprogesterone acetate (MPA) inhibits gonadotropin production, reduces nuclear estrogen receptors and DNA synthesis in epithelial cells of the endometrium, and induces p53 dependant apoptosis in cancer cell lines. The therapeutic window is wide as patients may take doses ranging from 5mg orally daily to 1000mg as a depo injection weekly. Long term use of MPA is associated with a reduction in bone density and patients who taking MPA during adolescence may have lower peak bone mass than untreated patients, which can also increase the risk of osteoporosis and fractures in the future.Medroxyprogesterone acetate (MPA) inhibits the production of gonadotropin, preventing follicular maturation and ovulation, which is responsible for it’s ability to prevent pregnancy. MPA reduces nuclear estrogen receptors and DNA synthesis in epithelial cells of the endometrium."
364,"For the symptomatic treatment of adult patients with nocturnal heartburn due to gastroesophageal reflux disease.In many countries (including Canada) cisapride has been either withdrawn or has had its indications limited due to reports about long QT syndrome due to cisapride, which predisposes to arrhythmias. The FDA issued a warning letter regarding this risk to health care professionals and patients.Cisapride is a parasympathomimetic which acts as a serotonin 5-HT<sub>4</sub> agonist; upon activation of the receptor signaling pathway, cisapride promotes the release of acetylcholine neurotransmitters in the enteric nervous system. Cisapride stimulates motility of the upper gastrointestinal tract without stimulating gastric, biliary, or pancreatic secretions. Cisapride increases the tone and amplitude of gastric (especially antral) contractions, relaxes the pyloric sphincter and the duodenal bulb, and increases peristalsis of the duodenum and jejunum resulting in accelerated gastric emptying and intestinal transit. It has little, if any, effect on the motility of the colon or gallbladder."
365,"For acute or long-term use in the relief of signs and symptoms of osteoarthritis, rheumatoid arthritis, ankylosing spondylitis, acute painful shoulder (acute subacromial bursitis/supraspinatus tendinitis), and acute gouty arthritis.Sulindac is a nonsteroidal anti-inflammatory drug (NSAID) of the arylalkanoic acid class that is marketed by Merck under the brand name Clinoril. Like other NSAIDs, it may be used in the treatment of acute or chronic inflammatory conditions. Sulindac is a prodrug, derived from sulfinylindene, that is converted _in vivo_ to an active sulfide compound by liver enzymes. There is evidence from some studies that sulindac may be associated with fewer gastrointestinal side effects than other NSAIDs, except for the cyclooxygenase-2 (COX-2) inhibitor drug class. While its full mechanism of action is not fully understood, sulindac is thought to primarily mediate its action by inhibiting prostaglandin synthesis by inhibiting COX-1 and COX-2.Sulindac is a non-steroidal anti-inflammatory indene derivative, also possessing analgesic and antipyretic activities.Sulindac's exact mechanism of action is unknown."
366,"It is also indicated in the management of hypertension either as the sole therapeutic agent or to enhance the effectiveness of other antihypertensive drugs in the more severe forms of hypertension.As a diuretic, cyclothiazide inhibits active chloride reabsorption at the early distal tubule via the Na-Cl cotransporter, resulting in an increase in the excretion of sodium, chloride, and water. Natriuresis may be accompanied by some loss of potassium and bicarbonate.Hydrochlorothiazide, a thiazide diuretic, inhibits water reabsorption in the nephron by inhibiting the sodium-chloride symporter (SLC12A3) in the distal convoluted tubule, which is responsible for 5% of total sodium reabsorption. Once sodium has entered the cell, it is transported out into the basolateral interstitium via the sodium-potassium ATPase, causing an increase in the osmolarity of the interstitium, thereby establishing an osmotic gradient for water reabsorption. By blocking the sodium-chloride symporter, hydrochlorothiazide effectively reduces the osmotic gradient and water reabsorption throughout the nephron.Hydrochlorothiazide, a thiazide diuretic, inhibits water reabsorption in the nephron by inhibiting the sodium-chloride symporter (SLC12A3) in the distal convoluted tubule, which is responsible for 5% of total sodium reabsorption. Once sodium has entered the cell, it is transported out into the basolateral interstitium via the sodium-potassium ATPase, causing an increase in the osmolarity of the interstitium, thereby establishing an osmotic gradient for water reabsorption."
367,"A semi-synthetic antibiotic related to penicillin, Naficillin is a narrow-spectrum beta-lactam antibiotic drug. It is a beta-lactamase-resistant penicillin that is indicated for the treatment of Staphylococcal infections caused by strains that are resistant to other penicillins, except those caused by MRSA. It may be used as a first-line therapy in Methicillin-Sensitive *Staphylococcus aureus* infections .Nafcillin is a semisynthetic antibiotic substance derived from 6-amino-penicillanic acid. The drugs in this class are highly resistant to inactivation by staphylococcal penicillinase and are active against penicillinase-producing and non penicillinase-producing strains of Staphylococcus species. It inhibits the biosynthesis of the bacterial cell wall by forming covalent bonds with penicillin-binding proteins that play a critical role in the final transpeptidation process."
368,"Chloroquine is also used off label for the treatment of rheumatic diseases, as well as treatment and prophylaxis of Zika virus. Chloroquine is currently undergoing clinical trials for the treatment of COVID-19.Chloroquine is an aminoquinolone derivative first developed in the 1940s for the treatment of malaria. It was the drug of choice to treat malaria until the development of newer antimalarials such as , , and . The raised pH in endosomes, prevent virus particles from utilizing their activity for fusion and entry into the cell. Chloroquine does not affect the level of ACE2 expression on cell surfaces, but inhibits terminal glycosylation of ACE2, the receptor that SARS-CoV and SARS-CoV-2 target for cell entry."
