id,drug_id,drug_text
71,DB00089,"For diagnosis of prostate cancer and detection of intra-pelvic metastases.Capromab is a Murine IgG1 monoclonal 7E11-C5.3 antibody that recognizes prostate specific membrane antigen (PSMA �?also known as glutamate carboxypeptidase 2) from prostate cancer cells and normal prostate tissue. When linked to pendetide, capromab is used as a chelating agent for the radionuclide  during imaging to evaluate the extent of prostate cancer.Binds to the prostate-specific membrane antigen, which is a cell surface protein generally overexpressed in prostate tissues and prostate cancers. The radioactive Indium 111, which is covalently attached to the antibody, allows radiodiagnostic detection of PSMA expressing cells and tumors.Binds selectively to cell-surface prostate-specific membrane antigen (PSMA) expressed on prostate tissues and tumors."
72,DB00091,"It is also used to prevent bone marrow transplant rejection. Finally, cyclosporine can be used in patients who have chronic transplant rejection and have received previous immunosuppressive therapy and to prevent or treat graft-versus-host disease (GVHD). The ophthalmic solution of cyclosporine is indicated to increase tear production in patients suffering from keratoconjunctivitis sicca. Off-label, cyclosporine is commonly used for the treatment of various autoimmune and inflammatory conditions such as atopic dermatitis, blistering disorders, ulcerative colitis, juvenile rheumatoid arthritis, uveitis, connective tissue diseases, as well as idiopathic thrombocytopenic purpura.Cyclosporine is a calcineurin inhibitor known for its immunomodulatory properties that prevent organ transplant rejection and treat various inflammatory and autoimmune conditions. This complex subsequently inhibits calcineurin, which in turn stops the dephosphorylation as well as the activation of the nuclear factor of activated T cells (NF-AT) that normally cause inflammatory reactions."
73,DB00092,"As an immunosuppressive drug, Alefacept can be used for treatment of moderate to severe chronic plaque psoriasisImmunosuppressive dimeric fusion protein that consists of the extracellular CD2-binding portion of the human leukocyte function antigen-3 (LFA-3) linked to the Fc (hinge, CH2 and CH3 domains) portion of human IgG1. Produced by CHO cells, mW is 91.4 kD.Interferes with lymphocyte activation by specifically binding to the lymphocyte antigen, CD2, and inhibiting LFA-3/CD2 interaction. Activation of T lymphocytes involving the interaction between LFA-3 on antigen-presenting cells and CD2 on T lymphocytes plays a role in the pathophysiology of chronic plaque psoriasis. Also causes a reduction in subsets of CD2+ T lymphocytes as well as CD4+ and CD8+ T lymphocytes.Inhibits T-lymphocyte activation and production by binding to the CD2 lymphocyte antigen."
74,DB00095,"For the treatment of adult patients with moderate to severe chronic plaque psoriasis, who are candidates for phototherapy or systemic therapy.Humanized IgG1 kappa isotype monoclonal antibody that binds to human CD11a. Efalizumab has a molecular weight of approximately 150 kilodaltons and is produced in a Chinese hamster ovary mammalian cell expression system in a nutrient medium containing the antibiotic gentamicin. The FDA approved efalizumab in 2003. It was later withdrawn in 2009 due to a potential risk of progressive multifocal leukoencephalopathy (PML).Lymphocyte activation and trafficking to skin play a role in the pathophysiology of chronic plaque psoriasis. In psoriatic skin, ICAM-1 cell surface expression is upregulated on endothelium and keratinocytes."
75,DB00098,For prevention of renal transplant rejectionRabbit anti-thymocyte globulin. Thymoglobulin is a polyclonal antibody that suppresses certain types of immune cells responsible for acute organ rejection in transplant patients. Thymoglobulin is a mixture of antibodies intended to bind to various cell surface antigens. The most common mode of action of Thymoglobulin is via selective depletion of T-cells.Antithymocyte Globulin (ATG) is a concentrated anti-human T-lymphocyte immunoglobulin preparation derived from rabbits after immunization with a T-lympoblast cell line. ATG is an immunosuppressive product for the prevention and treatment of acute rejection following organ transplantation.
76,DB00099,"Filgrastim is indicated to decrease the incidence of infection as manifested by febrile neutropenia in patients with nonmyeloid malignancies receiving myelosuppressive anti-cancer drugs associated with a significant incidence of severe neutropenia with fever. It is also used to manage severe chronic neutropenia and mobilize hematopoietic progenitor cells to the peripheral blood for collection by leukapheresis in patients undergoing peripheral blood progenitor cell collection and therapy. A long-acting, pegylated G-CSF, , was made available to increase the duration of action of the drug.Filgrastim is used to reduce the incidence, severity and duration of neutropenia and febrile neutropenia in patients undergoing cytotoxic chemotherapy. Filgrastim causes a dose-dependent increase in circulating neutrophil counts within 24 hours of administration. It also facilitates the release of neutrophils from the bone marrow into the blood to reduce the incidence of infection and manage neutropenia."
77,DB00100,"For treatment of hemophilia (Christmas disease).Recombinant Coagulation Factor IX is a purified Factor IX glycoprotein produced by recombinant DNA technology. Recombinant Factor IX is indicated for the control and prevention of bleeding episodes in adult and pediatric patients with congenital factor IX deficiency (Hemophilia B).Binds vitamin K and factor VIIIa. The activated partial thromboplastin time (aPTT) is prolonged in people with hemophilia B. The administration of BeneFIX increases plasma levels of factor IX, and can temporarily correct the coagulation defect in these patients.Coagulation Factor IX is an important protein in the process of hemostasis and normal blood clotting as it plays a key role within the coagulation cascade. Factor XIa cleaves the peptide bond associated with protein activation in Factor IX, leaving Factor IX with two exposed chains, a light chain and a heavy chain."
78,DB00103,"Agalsidase beta is indicated in the treatment of Fabry disease.Agalsidase beta is a recombinant human α-galactosidase A similar to . While patients generally do not experience a clinically significant difference in outcomes between the two drugs, some patients may experience greater benefit with agalsidase beta. Use of agalsidase beta has decreased in Europe, in favor of agalsidase alfa, after a contamination event in 2009. Agalsidase beta was granted FDA approval on 24 April 2003.Agalsidase beta is a recombinant human α-galactosidase A used as enzyme replacement therapy in the treatment of Fabry disease. It has a long duration of action and a wide therapeutic index."
79,DB00104,"Octreotide by injection is used for the treatment of acromegaly and the reduction of flushing and diarrhea symptoms related to carcinoid tumors and/or vasoactive intestinal peptide (VIPoma) tumors. The delayed-release oral formulation is used for the long-term treatment of acromegaly in patients who tolerate and respond adequately to injectable octreotide and .Acromegaly is a disorder caused by excess growth hormone (GH), increasing the growth of body tissues and causing metabolic dysfunction. Octreotide is a long-acting drug with pharmacologic activities that mimic those of the natural hormone, somatostatin, which inhibits the secretion of growth hormone. Additionally, it is used for the treatment of acromegaly and symptoms arising from various tumors, including carcinoid tumors and vasoactive intestinal tumors (VIPomas). In addition, octreotide relieves the flushing and diarrhea associated with gastrointestinal tumors by reducing splanchnic blood flow and various gastrointestinal hormones associated with diarrhea."
80,DB00105,"For the treatment of hairy cell leukemia, malignant melanoma, and AIDS-related Kaposi's sarcoma.Interferon alpha 2b (human leukocyte clone hif-sn 206 protein moiety reduced). This protein is produced by recombinant DNA technology and resembles interferon secreted by leukocytes. It is used extensively as an antiviral or antineoplastic agent.Upregulates the expression of MHC I proteins, allowing for increased presentation of peptides derived from viral antigens. Interferon alpha also induce the synthesis of several key antiviral mediators, including 2'-5' oligoadenylate synthetase (2'-5' A synthetase) and protein kinase R.Interferon alpha binds to type I interferon receptors (IFNAR1 and IFNAR2c) which upon dimerization activate two Jak (Janus kinase) tyrosine kinases (Jak1 and Tyk2). Interferon alpha binds less stably to type I interferon receptors than interferon beta."
81,DB00107,"Administration of exogenous oxytocin is indicated in the antepartum period to initiate or improve uterine contractions for vaginal delivery in situations where there is fetal or maternal concern. It should be noted that there are risks associated with oxytocin intervention during childbirth. It plays an important role in pair bonding, social cognition and functioning, and even fear conditioning. The elicited uterine contractions will then stimulate the release of increasing amounts of oxytocin. Since exogenously administered and endogenously secreted oxytocin result in the same effects on the female reproductive system, synthetic oxytocin may be used in specific instances during the antepartum and postpartum period to induce or improve uterine contractions."
82,DB00108,"It is also indicated for inducing and maintaining clinical response and remission in adult patients with moderately to severely active Crohn’s disease with evidence of inflammation who have had an inadequate response to or are unable to tolerate, conventional therapies and inhibitors of TNF-α. Natalizumab was further approved by the FDA for the treatment of Crohn's Disease in January 2008. Natalizumab was approved by the European Commission on September 22, 2023.Natalizumab is a disease-modifying drug that works to alleviate the symptoms of multiple sclerosis and Crohn’s disease by attenuating inflammation. In vivo, natalizumab may further inhibit the interaction of α4-expressing leukocytes with their ligand(s) in the extracellular matrix and on parenchymal cells, thereby inhibiting further recruitment and inflammatory activity of activated immune cells. Leukocyte migration across the BBB involves the interaction between adhesion molecules on inflammatory cells and their counter-receptors expressed on endothelial cells lining blood vessels."
83,DB00109,"Enfuvirtide is an antiretroviral drug used in combination therapy for the treatment of HIV-1/AIDS.Enfuvirtide is a 36 amino acid biomimetic peptide that is structurally similar to the HIV proteins that are responsible for the fusion of the virus to cell membranes and subsequent intracellular uptake. The first agent in the novel class of antiretroviral drugs called HIV fusion inhibitors, enfuvirtide works by inhibiting HIV-1 fusion with CD4 cells.Enfuvirtide binds to the first heptad-repeat (HR1) in the gp41 subunit of the viral envelope glycoprotein and prevents the conformational changes required for the fusion of viral and cellular membranes. By disrupting the HIV-1 molecular machinery during its final stage of fusion with the target cell, enfuvirtide limits the spread of further infection. Enfuvirtide is a biomimetic peptide that was rationally designed to mimic components of the HIV-1 fusion machinery and displace them, preventing normal fusion."
84,DB00110,"For prophylaxis of respiratory diseases casued by respiratory syncytial virus.Humanized monoclonal antibody (IgG1k) produced by recombinant DNA technology, directed to an epitope in the A antigenic site of the F protein of respiratory syncytial virus (RSV). Synagis is a composite of human (95%) and murine (5%) antibody sequences. The human heavy chain sequence was derived from the constant domains of human IgG1 and the variable framework regions of the VH genes Cor (1) and Cess (2). The human lightchain sequence was derived from the constant domain of Ck and the variable framework regions of the VL gene K104 withJk-4. These activities inhibit RSV replication or spread."
85,DB00112,"There is a great deal of evidence indicating that vascular endothelial growth factor (VEGF) is important for the survival and proliferation of cancer cells. As such, bevacizumab is being investigated for the treatment of lung complications associated with severe cases of COVID-19.Bevacizumab binds circulating vascular endothelial-derived growth factor (VEGF) and blocks it from binding to its associated receptors, effectively blunting downstream signaling. When circulating VEGF binds to VEGF receptors (VEGFR-1 and VEGFR-2) located on endothelial cells, various downstream effects are initiated. Bevacizumab is a mAb that exerts its effects by binding and inactivating serum VEGF. This prevents formation of new blood vessels, decreases tumor vasculature, and reduces tumor blood supply."
86,DB00115,"**Nasal spray**    The cyanocobalamin nasal spray is indicated for the maintenance of vitamin B12 concentrations after normalization with intramuscular vitamin B12 therapy in patients with deficiency of this vitamin who have no nervous system involvement . **Injection forms (subcutaneous, intramuscular)**    These forms are indicated for vitamin B12 deficiencies due to various causes, with or without neurologic manifestations . Methionine synthase is essential for the synthesis of purines and pyrimidines that form DNA. It is a lack of vitamin B12 cofactor in the above reaction and the resulting accumulation of methylmalonyl CoA that is believed to be responsible for the neurological manifestations of B12 deficiency . In tissues, vitamin B12 is required for the synthesis of _methionine_ from homocysteine."
87,DB00118,"S-Adenosylmethionine (SAMe) is used as a drug in Europe for the treatment of depression, liver disorders, fibromyalgia, and osteoarthritis. (From Merck, 11th ed)S-adenosylmethionine is an intermediate metabolite of methionine. Its involvement in methylation assists in cellular growth and repair, maintains the phospho-bilipid layer in cell membranes. It also helps in the maintenance of the action of several hormones and neurotransmitters that affect mood. Highest concentration are found in the brain and the liver.S-Adenosylmethionine (SAMe) is a natural substance present in the cells of the body."
88,DB00120,"L-phenylalanine may be helpful in some with depression. It may also be useful in the treatment of vitiligo. There is some evidence that L-phenylalanine may exacerbate tardive dyskinesia in some schizophrenic patients and in some who have used neuroleptic drugs.Phenylalanine is an essential aromatic amino acid that is a precursor of melanin, ,  (norepinephrine), and .Used by the brain to produce Norepinephrine, a chemical that transmits signals between nerve cells and the brain; keeps you awake and alert; reduces hunger pains; functions as an antidepressant and helps improve memory.The supposed antidepressant effects of L-phenylalanine may be due to its role as a precursor in the synthesis of the neurotransmitters norepinephrine and dopamine. The mechanism of L-phenylalanine's possible antivitiligo activity is not well understood. It is thought that L-phenylalanine may stimulate the production of melanin in the affected skin"
89,DB00122,"Choline is also needed for gallbladder regulation, liver function and lecithin (a key lipid) formation. Phosphatidylcholine's role in the maintenance of cell membrane integrity is vital to all of the basic biological processes: information flow, intracellular communication and bioenergetics. Choline is also a major part of another membrane phospholipid, sphingomyelin, also important for the maintenance of cell structure and function. This appears to be due to abnormalities in cell membrane phosphatidylcholine content and an increase in ceramide, a precursor, as well as a metabolite, of sphingomyelin. Betaine is one of the factors that maintains low levels of homocysteine by resynthesizing L-methionine from homocysteine."
90,DB00126,"It has also been suggested to be an effective antiviral agent.A six carbon compound related to glucose. It is found naturally in citrus fruits and many vegetables. Vitamin C is considered an antioxidant.Ascorbic Acid (vitamin C) is a water-soluble vitamin indicated for the prevention and treatment of scurvy, as ascorbic acid deficiency results in scurvy. Collagenous structures are primarily affected, and lesions develop in bones and blood vessels. Administration of ascorbic acid completely reverses the symptoms of ascorbic acid deficiency.In humans, an exogenous source of ascorbic acid is required for collagen formation and tissue repair by acting as a cofactor in the posttranslational formation of 4-hydroxyproline in -Xaa-Pro-Gly- sequences in collagens and other proteins."
91,DB00130,"Glutamine can then be used as a nitrogen donor in the biosynthesis of many compounds, including other amino acids, purines, and pyrimidines. L-glutamine improves nicotinamide adenine dinucleotide (NAD) redox potential .Supplemental L-glutamine's possible immunomodulatory role may be accounted for in a number of ways. L-glutamine appears to play a major role in protecting the integrity of the gastrointestinal tract and, in particular, the large intestine. The demand for L-glutamine by the intestine, as well as by cells such as lymphocytes, appears to be much greater than that supplied by skeletal muscle, the major storage tissue for L-glutamine. It can lead to an increased synthesis of glutathione in the intestine, which may also play a role in maintaining the integrity of the intestinal mucosa by ameliorating oxidative stress."
92,DB00132,"It is a component of many common vegetable oils and is important to human nutrition.Alpha Linolenic Acid (ALA) is an 18-carbon polyunsaturated fatty acid with three double bonds. It is also called an omega-3 fatty acid, and is essential for all mammals. It is in fact  a plant-derived fatty acid. EPA is a precursor of the series-3 prostaglandins, the series-5 leukotrienes and the series-3 thromboxanes. Omega-3 fatty acids like ALA and its byproducts can modulate the expression of a number of genes, including those involved with fatty acid metabolism and inflammation."
93,DB00134,"Used for protein synthesis including the formation of SAMe, L-homocysteine, L-cysteine, taurine, and sulfate.A sulfur containing essential amino acid that is important in many body functions. L-methionine is a precursor to L-cysteine. L-cysteine itself may have antioxidant activity. Antioxidant activity of L-methionine and metabolites of L-methionine appear to account for its possible anti-hepatotoxic activity. Recent research suggests that methionine itself has free-radical scavenging activity by virtue of its sulfur, as well as its chelating ability."
94,DB00135,"Tyrosine is claimed to act as an effective antidepressant, however results are mixed. It is also the precursor of , thyroid hormones, and melanin.Tyrosine is a nonessential amino acid synthesized in the body from phenylalanine. It may improve memory and increase mental alertness. Half of the phenylalanine required goes into the production of tyrosine; if the diet is rich in tyrosine itself, the requirements for phenylalanine are reduced by about 50%. The mechanism of L-tyrosine's antidepressant activity can be accounted for by the precursor role of L-tyrosine in the synthesis of the neurotransmitters norepinephrine and dopamine."
95,DB00136,"Also used in conjunction with calcium in the management and prevention of primary or corticosteroid-induced osteoporosis.Calcitriol is an active metabolite of vitamin D with 3 hydroxyl (OH) groups and is commonly referred to as 1,25-dihydroxycholecalciferol, or 1alpha,25-dihydroxyvitamin D3, 1,25-dihydroxyvitamin D<sub>3</sub>. Various studies demonstrated expression of vitamin D receptors in cancer cell lines, including mouse myeloid leukemia cells . Vitamin D appears to demonstrate both immune-enhancing and immunosuppressive effects.The mechanism of action of calcitriol in the treatment of psoriasis is accounted for by their antiproliferative activity for keratinocytes and their stimulation of epidermal cell differentiation. The anticarcinogenic activity of the active form of Calcitriol appears to be correlated with cellular vitamin D receptor (VDR) levels. The immunomodulatory activity of calcitriol is thought to be mediated by vitamin D receptors (VDRs) which are expressed constitutively in monocytes but induced upon activation of T and B lymphocytes."
96,DB00139,"For nutritional supplementation, also for treating dietary shortage or imbalanceA water-soluble, colorless crystal with an acid taste that is used as a chemical intermediate, in medicine, the manufacture of lacquers, and to make perfume esters. It also has been shown to be a good ""natural"" antibiotic because of its relative acidic or caustic nature (high concentrations can even cause burns). Succinate supplements have been shown to help reduce the effects of hangovers by activating the degradation of acetaldehyde - a toxic byproduct of alcohol metabolism - into CO2 and H2O through aerobic metabolism. Succinic acid has been shown to stimulate neural system recovery and bolster the immune system. Claims have also been made that it boosts awareness, concentration and reflexes."
97,DB00140,"For the treatment of ariboflavinosis (vitamin B2 deficiency).Nutritional factor found in milk, eggs, malted barley, liver, kidney, heart, and leafy vegetables. The richest natural source is yeast. Riboflavin is the precursor of flavin mononucleotide (FMN, riboflavin monophosphate) and flavin adenine dinucleotide (FAD). The antioxidant activity of riboflavin is principally derived from its role as a precursor of FAD and the role of this cofactor in the production of the antioxidant reduced glutathione. Reduced glutathione is the cofactor of the selenium-containing glutathione peroxidases among other things."
98,DB00142,"Considered to be nature's ""Brain food"" by improving mental capacities; helps speed the healing of ulcers; gives a ""lift"" from fatigue; helps control alcoholism, schizophrenia and the craving for sugar.A peptide that is a homopolymer of glutamic acid.In addition to being one of the building blocks in protein synthesis, it is the most widespread neurotransmitter in brain function, as an excitatory neurotransmitter and as a precursor for the synthesis of GABA in GABAergic neurons. Glutamate activates both ionotropic and metabotropic glutamate receptors. The ionotropic ones being non-NMDA (AMPA and kainate) and NMDA receptors. Free glutamic acid cannot cross the blood-brain barrier in appreciable quantities; instead it is converted into L-glutamine, which the brain uses for fuel and protein synthesis. It is conjectured that glutamate is involved in cognitive functions like learning and memory in the brain, though excessive amounts may cause neuronal damage associated in diseases like amyotrophic lateral sclerosis, lathyrism, and Alzheimer's disease."
99,DB00145,"It is found primarily in gelatin and silk fibroin and used therapeutically as a nutrient. It is also a fast inhibitory neurotransmitter.Helps trigger the release of oxygen to the energy requiring cell-making process; Important in the manufacturing of hormones responsible for a strong immune system.In the CNS, there exist strychnine-sensitive glycine binding sites as well as strychnine-insensitive glycine binding sites. The strychnine-sensitive glycine receptor complex is comprised of a chloride channel and is a member of the ligand-gated ion channel superfamily. The putative antispastic activity of supplemental glycine could be mediated by glycine's binding to strychnine-sensitive binding sites in the spinal cord. This would result in increased chloride conductance and consequent enhancement of inhibitory neurotransmission."
100,DB00146,"It is effective in the treatment of rickets and osteomalacia, both in azotemic and non-azotemic patients. Vitamin D3 is a steroid hormone that has long been known for its important role in regulating body levels of calcium and phosphorus, in mineralization of bone, and for the assimilation of vitamin A. It promotes renal reabsorption of calcium, increases intestinal absorption of calcium and phosphorus, and increases calcium and phosphorus mobilization from bone to plasma.Calcidiol is transformed in the kidney by 25-hydroxyvitamin D3-1-(alpha)-hydroxylase to calcitriol, the active form of vitamin D3. Calcitriol binds to intracellular receptors that then function as transcription factors to modulate gene expression. Calcitriol appears to promote intestinal absorption of calcium through binding to the vitamin D receptor in the mucosal cytoplasm of the intestine."
101,DB00150,"It is also essential for the production of niacin, the synthesis of the neurotransmitter serotonin and melatonin. Tryptophan supplements can be used as natural relaxants to help relieve insomnia. Tryptophan also appears to help the immune system and can reduce the risk of cardiac spasms. Tryptopan serves as the precursor for the synthesis of serotonin (5-hydroxytryptamine, 5-HT) and melatonin (N-acetyl-5-methoxytryptamine).A number of important side reactions occur during the catabolism of tryptophan on the pathway to acetoacetate. Kynurenine is the first key branch point intermediate in the pathway."
102,DB00152,"For the treatment of thiamine and niacin deficiency states, Korsakov's alcoholic psychosis, Wernicke-Korsakov syndrome, delirium, and peripheral neuritis.Thiamine or thiamin, also known as vitamin B1, is a colorless compound with the chemical formula C12H17N4OS. Thiamine plays a key role in intracellular glucose metabolism and it is thought that thiamine inhibits the effect of glucose and insulin on arterial smooth muscle cell proliferation. The neuronal death is associated with increased free radical production, suggesting that oxidative stress may play an important early role in brain damage associated with thiamine deficiency. Thiamine plays a key role in intracellular glucose metabolism and it is thought that thiamine inhibits the effect of glucose and insulin on arterial smooth muscle cell proliferation. Thiamine has been shown to inhibit this effect of glucose on endothelial cells.It is thought that the mechanism of action of thiamine on endothelial cells is related to a reduction in intracellular protein glycation by redirecting the glycolytic flux."
103,DB00153,"Rickets is a condition produced due to a deficiency in vitamin D, calcium or phosphorus. Ergocalciferol was isolated for the first time from yeast in 1931 and its structure was elucidated in 1932. When compared to its vitamin D counterpart , ergocalciferol has been shown to present a reduced induction of calcidiol and hence, it is less potent. Ergocalciferol supplementation in patients with end-stage renal disease has been shown to generate a significant benefit in lab parameters of bone and mineral metabolism as well as improvement in glycemic control, serum albumin levels and reduced levels of inflammatory markers.For its activity, ergocalciferol is required to be transformed to its major active circulating hydroxylated metabolite and transported to the target organs in order to bind to its target, the vitamin D receptor. The activation of the vitamin D receptor is part of the vitamin D endocrine system and it is described by the production of a change in the transcription rates of the vitamin D receptor target genes."
104,DB00158,"Folic acid is indicated for the treatment of folic acid deficiency, megaloblastic anemia, and in anemias of nutritional origins, pregnancy, infancy, or childhood.Folic acid, also known as folate or Vitamin B9, is a member of the B vitamin family and an essential cofactor for enzymes involved in DNA and RNA synthesis. More specifically, folic acid is required by the body for the synthesis of purines, pyrimidines, and methionine before incorporation into DNA or protein. As a result, supplementation with 1-5mg of folic acid is recommended to prevent deficiency and a number of side effects associated with MTX therapy including mouth ulcers and gastrointestinal irritation. Folic acid is typically supplemented during pregnancy to prevent the development of NTDs and in individuals with alcoholism to prevent the development of neurological disorders, for example.Folic acid is a water-soluble B-complex vitamin found in foods such as liver, kidney, yeast, and leafy, green vegetables. More specifically, folic acid is required by the body for the synthesis of purines, pyrimidines, and methionine before incorporation into DNA or protein."
105,DB00159,"It serves as the precursor for the prostaglandin-3 and thromboxane-3 families. Both 20-carbon omega-6 fatty acids (arachidonic acid) and 20-carbon omega-3 fatty acids (EPA) can be found in cell membranes. During an inflammatory response, arachidonic acid and EPA are metabolized by enzymes known as cyclooxygenases and lipoxygenases to form eicosanoids. Increasing omega-3 fatty acid intake increases the EPA content of cell membranes and decreases the arachidonic acid content, resulting in higher proportions of eicosanoids derived from EPA. It also appears to affect the function and bind to the Carbohydrate responsive element binding protein (ChREBP) and to a fatty acid receptor (G-coupled receptor) known as GP40."
106,DB00162,"For the treatment of vitamin A deficiency.Retinol and derivatives of retinol that play an essential role in metabolic functioning of the retina, the growth of and differentiation of epithelial tissue, the growth of bone, reproduction, and the immune response. It is also important for the maintenance of the proper functioning of the immune system.Vision:Vitamin A (all-trans retinol) is converted in the retina to the 11-cis-isomer of retinaldehyde or 11-cis-retinal. 11-cis-retinal, while attached to opsin in rhodopsin is isomerized to all-trans-retinal by light. All-trans-retinal is then released from opsin and reduced to all-rans-retinol. Epithelial differentiation: The role of Vitamin A in epithelial differentiation, as well as in other physiological processes, involves the binding of Vitamin A to two families of nuclear retinoid receptors (retinoic acid receptors, RARs; and retinoid-X receptors, RXRs)."
107,DB00163,"Vitamin E supplementation is indicated for treatment of vitamin E deficiency which can occur in cystic fibrosis, cholestasis and severe liver disease, abetalipoproteinemia or simply poor diet.In 1922, vitamin E was demonstrated to be an essential nutrient. Vitamin E is a term used to describe 8 different fat soluble tocopherols and tocotrienols, alpha-tocopherol being the most biologically active. Preliminary research suggests vitamin E may help prevent or delay coronary heart disease and protect against the damaging effects of free radicals, which may contribute to the development of chronic diseases such as cancer. Low levels of vitamin E have been linked to increased incidence of breast and colon cancer.The mechanism of action for most of vitamin E's effects are still unknown. Vitamin E is an antioxidant, preventing free radical reactions with cell membranes."
108,DB00165,"As its classification as a vitamin implies, Vitamin B6 (and pyridoxine) are essential nutrients required for normal functioning of many biological systems within the body. While many plants and microorganisms are able to synthesize pyridoxine through endogenous biological processes, animals must obtain it through their diet. More specifically, pyridoxine is converted to pyridoxal 5-phosphate in the body, which is an important coenzyme for synthesis of amino acids, neurotransmitters (serotonin, norepinephrine), sphingolipids, and aminolevulinic acid. It's important to note that Vitamin B6 is the collective term for a group of three related compounds, pyridoxine, pyridoxal, and pyridoxamine, and their phosphorylated derivatives, pyridoxine 5'-phosphate, pyridoxal 5'-phosphate and pyridoxamine 5'-phosphate. It is also used in combination with  (as the commercially available product Diclectin) for the treatment of nausea and vomiting in pregnancy.Vitamin B6 (pyridoxine) is a water-soluble vitamin used in the prophylaxis and treatment of vitamin B6 deficiency and peripheral neuropathy in those receiving isoniazid (isonicotinic acid hydrazide, INH)."
109,DB00166,"In the blood stream, another chelator such as dimercaptosuccinic acid (DMSA) or methylsulfonylmethane (MSM) is used to transfer mercury safely into the urine for excretion. It is hypothesized that this treatment-along with carnitine, dimethylglycine (DMG), Vitamin B6, folic acid, and magnesium&mdash;could be used to treat autism and amalgam poisoning. In this hypothesis, the reason why autism is difficult to treat is that mercury is attached to the brain cells and most medicines and vitamin supplements do not penetrate the blood-brain barrier. Because lipoic acid is related to cellular uptake of glucose and it is both soluble in water and fat, it is being used for treatment in diabetes. It may be helpful for people with Alzheimer's disease or Parkinson's disease.Lipoic Acid is generally involved in oxidative decarboxylations of keto acids and is presented as a growth factor for some organisms."
110,DB00169,"Concurrently, as one of the most commonly utilized forms of vitamin D, cholecalciferol is also very frequently used as a supplement in individuals to maintain sufficient vitamin d levels in the body or to treat vitamin D deficiency, as well as various medical conditions that can be associated directly or indirectly with vitamin d insufficiency like osteoporosis and chronic kidney disease, among others .Vitamin D, in general, is a secosteroid generated in the skin when 7-dehydrocholesterol located there interacts with ultraviolet irradiation - like that commonly found in sunlight . These vitamin D metabolites subsequently facilitate the active absorption of calcium and phosphorus in the small intestine, serving to increase serum calcium and phosphate levels sufficiently to allow bone mineralization . Such deficiency is known for resulting in conditions like rickets or osteomalacia, all of which reflect inadequate mineralization of bone, enhanced compensatory skeletal demineralization, resultant decreased calcium ion blood concentrations, and increases in the production and secretion of parathyroid hormone . This final metabolite binds to endogenous vitamin d receptors, which results in a variety of regulatory roles - including maintaining  calcium balance, the regulation of parathyroid hormone, the promotion of the renal reabsorption of calcium, increased intestinal absorption of calcium and phosphorus, and increased calcium and phosphorus mobilization of calcium and phosphorus from bone to plasma to maintain balanced levels of each in bone and the plasma . Additionally, it is believed that when calcitriol binds with nuclear vitamin D receptors, that this bound complex itself binds to retinoic acid X receptor (RXR) to generate a heterodimeric complex that consequently binds to specific nucleotide sequences in the DNA called vitamin D response elements ."
111,DB00170,"The primary known function of vitamin K is to assist in the normal clotting of blood, but it may also play a role in normal bone calcification.A synthetic naphthoquinone without the isoprenoid side chain and biological activity, but can be converted to active vitamin K2, menaquinone, after alkylation in vivo.Menadione (Vitamin K3) is a fat-soluble vitamin precursor that is converted into menaquinone in the liver. While a vitamin K deficiency can be dangerous, especially to infants that may easily suffer from extensive hemorrhaging, an overdose can be as equally detrimental. For this reason, K3 is less often utilized medically than it was in former times.Menadione (vitamin K3) is involved as a cofactor in the posttranslational gamma-carboxylation of glutamic acid residues of certain proteins in the body. The two vitamin K-dependent proteins found in bone are osteocalcin, also known as bone G1a (gamma-carboxyglutamate) protein or BGP, and the matrix G1a protein or MGP. Gamma-carboxylation is catalyzed by the vitamin K-dependent gamma-carboxylases."
112,DB00173,"For nutritional supplementation, also for treating dietary shortage or imbalanceA purine base and a fundamental unit of adenine nucleotides.Adenine (sometimes known as vitamin B4) combines with the sugar ribose to form adenosine, which in turn can be bonded with from one to three phosphoric acid units, yielding AMP, ADP and ATP . These adenine derivatives perform important functions in cellular metabolism. Adenine is one of four nitrogenous bases utilized in the synthesis of nucleic acids. A modified form of adenosine monophosphate (cyclic AMP) is an imporant secondary messenger in the propagation of many hormonal stimuli. Adenine is an integral part of the structure of many coenzymes."
113,DB00175,"As well, pravastatin can be used as a secondary prevention agent for cardiovascular events in patients with clinically evident coronary heart disease. It was the first statin administered as the active form and not as a prodrug. The manufacturing process is followed by the hydrolysis of the lactone group and the biological hydroxylation with _Streptomyces carbophilus_ to introduce the allylic 6-alcohol group.The action of pravastatin on the 3-hydroxy-3-methyl-glutaryl-coenzyme A (HMG-CoA) reductase produces an increase in the expression of hepatic LDL receptors which in order decreases the plasma levels of LDL cholesterol. In clinical trials with patients with a history of myocardial infarction or angina with high total cholesterol, pravastatin decreased the level of total cholesterol by 18%, decreased of LDL by 27%, decreased of triglycerides by 6% and increased of high-density lipoprotein (HDL) by 4%. When coadministered with , pravastatin can reduce by 50% the levels of LDL and slow the progression of atherosclerosis and the risk of myocardial infarction and death.Pravastatin is a specific inhibitor of the hepatic HMG-CoA reductase in humans."
